param n=10000; #número de candidatos

param m=20; #número de escolas

#capacidade de cada escola
param C:= 
1 690
2 580
3 450
4 710
5 470
6 620
7 690
8 660
9 470
10 660
11 770
12 650
13 570
14 650
15 780
16 510
17 550
18 720
19 730
20 410;

#matriz de distâncias
param d: 1	2	3	4	5	6 7 8 9 10 11 12 13 14 15 16 17 18 19 20:=
1	25	19	15	27	28	14	1	15	6	28	1	7	32	17	28	22	15	34	5	2
2	31	8	30	1	20	32	30	1	23	31	28	35	27	24	5	6	2	16	7	31
3	10	10	18	6	14	2	6	29	36	32	16	31	35	8	3	18	6	26	23	8
4	34	12	32	38	19	28	29	24	5	16	14	35	6	10	3	14	3	37	27	10
5	4	20	26	35	30	16	6	3	17	24	35	23	13	4	27	25	26	3	10	8
6	17	17	5	38	9	25	9	14	8	4	15	23	35	18	33	21	8	6	3	36
7	25	2	7	9	38	26	18	17	35	7	31	36	24	11	18	24	16	35	14	19
8	20	10	31	30	19	25	6	10	18	26	22	18	31	29	18	31	2	30	29	8
9	13	15	22	3	14	15	14	11	24	8	1	29	30	9	9	37	28	39	16	16
10	39	4	26	3	38	2	1	16	2	35	37	37	17	34	13	37	16	27	24	16
11	25	17	37	24	1	22	27	34	33	29	8	2	18	16	15	23	33	12	9	1
12	9	4	29	13	19	7	33	19	36	11	37	24	1	20	15	33	11	8	35	15
13	35	32	20	14	6	15	36	28	36	32	19	28	28	1	27	32	37	21	20	28
14	8	10	20	33	6	25	11	22	37	25	21	3	20	29	37	22	16	21	2	18
15	18	34	13	39	27	29	34	32	22	6	16	5	34	23	13	16	21	37	16	2
16	20	13	2	24	5	12	14	18	5	11	19	6	13	10	14	19	13	20	15	30
17	6	18	33	25	1	26	33	19	11	27	17	33	12	1	2	8	33	22	18	19
18	26	4	28	32	13	3	5	23	14	23	9	5	1	8	38	38	3	27	17	32
19	29	32	15	39	27	30	23	14	26	20	21	30	29	23	28	24	8	17	38	3
20	13	5	26	4	38	5	4	5	36	1	2	15	32	5	31	6	23	32	24	15
21	3	5	22	33	39	31	32	21	17	2	32	6	39	26	1	26	2	20	15	15
22	17	11	10	39	11	36	20	29	10	38	30	26	18	9	3	35	22	38	11	27
23	34	20	19	38	31	12	35	34	11	14	31	24	13	25	35	34	10	9	12	37
24	15	3	28	33	37	6	4	26	5	14	29	34	3	38	13	37	32	16	33	15
25	23	5	18	34	30	16	34	9	14	32	21	22	32	7	7	17	12	24	31	4
26	32	19	7	33	13	10	29	4	34	2	39	27	37	33	34	19	10	28	11	10
27	36	35	13	29	39	29	28	13	11	37	14	10	39	17	28	16	10	9	13	9
28	4	18	2	11	28	10	25	15	34	28	11	2	11	17	23	18	20	13	27	28
29	10	36	17	8	11	19	25	36	6	23	15	6	36	32	16	3	30	11	8	29
30	24	35	5	8	11	38	26	24	31	19	11	15	31	5	27	27	22	27	5	3
31	16	20	23	26	21	9	23	10	25	30	3	30	9	2	38	24	19	21	23	5
32	11	13	4	32	1	26	24	21	20	13	24	28	31	36	5	14	31	30	31	6
33	25	19	12	38	6	2	10	17	7	18	26	32	3	24	10	21	25	17	1	26
34	13	30	39	24	4	10	28	2	3	33	31	35	38	17	39	35	39	11	31	18
35	17	2	27	18	33	20	29	34	36	18	32	36	25	31	22	14	7	27	7	14
36	34	35	35	5	19	39	39	36	3	32	9	16	36	3	11	9	39	17	22	6
37	39	22	33	13	20	14	15	4	21	22	22	24	9	34	8	23	27	9	29	29
38	27	12	23	17	38	12	3	12	29	15	24	32	11	13	12	39	24	13	19	22
39	21	5	13	32	38	35	5	9	23	37	30	30	12	22	20	30	16	4	2	8
40	31	28	17	4	25	16	6	5	5	27	15	5	30	31	30	11	1	1	18	10
41	28	32	25	23	4	26	14	15	9	34	36	29	25	27	13	32	25	9	35	11
42	35	13	3	14	25	37	16	9	19	11	24	31	11	39	22	33	18	29	29	33
43	28	35	24	24	19	8	22	24	33	23	27	8	23	34	30	4	27	36	14	12
44	31	30	7	24	13	4	6	10	3	12	14	14	1	6	34	7	22	37	15	1
45	14	5	32	37	3	10	12	22	28	8	21	14	16	24	1	16	9	33	39	26
46	14	4	8	25	20	19	9	28	13	1	30	22	9	12	28	27	3	14	12	17
47	4	10	17	17	1	22	1	19	27	5	15	4	8	9	31	27	39	30	2	22
48	21	18	16	39	19	37	13	11	5	14	31	20	13	7	18	37	26	33	16	13
49	33	30	4	16	1	32	26	18	29	8	16	15	37	11	21	30	24	2	35	33
50	33	12	8	38	6	4	31	34	26	24	8	26	24	23	1	17	17	39	11	24
51	34	19	30	18	29	21	21	15	22	5	28	36	28	19	28	7	31	24	31	13
52	33	2	20	24	16	30	38	33	9	26	23	6	24	26	24	38	31	3	21	15
53	18	4	32	22	22	2	28	17	24	19	2	3	11	14	10	28	6	13	25	25
54	36	5	12	39	39	13	2	28	35	29	30	3	1	31	12	3	21	21	4	4
55	36	8	25	27	16	15	22	38	29	12	23	32	35	32	21	34	36	27	12	6
56	35	24	39	32	12	34	21	24	18	6	7	9	5	15	10	26	3	9	9	10
57	15	38	4	15	36	12	37	23	5	5	25	21	1	5	34	21	5	21	37	26
58	20	39	3	26	36	23	11	8	17	30	16	9	30	23	4	16	9	19	22	23
59	5	5	15	38	15	30	7	34	18	15	21	6	3	10	9	38	15	13	16	33
60	6	34	4	6	5	18	35	31	12	24	33	31	13	26	13	1	12	21	16	11
61	31	35	3	23	25	17	1	13	5	7	14	29	15	8	16	35	17	31	33	17
62	14	19	7	12	37	25	8	15	34	38	5	26	26	11	17	11	14	12	8	23
63	5	29	5	33	17	34	36	4	10	37	38	29	33	11	2	25	25	28	24	4
64	37	33	8	35	39	5	14	6	14	26	4	38	20	18	2	32	30	3	26	3
65	27	23	21	26	1	27	28	34	25	20	9	11	5	34	10	22	26	10	25	34
66	11	30	1	27	33	17	28	12	21	26	38	25	12	20	32	11	26	12	10	28
67	34	1	18	6	19	28	16	16	38	14	14	10	7	33	1	11	18	37	38	30
68	23	27	31	18	30	15	24	7	38	6	37	34	25	2	6	39	6	10	4	1
69	39	31	17	8	8	5	12	27	26	13	36	15	13	29	21	23	31	9	28	21
70	8	6	24	13	1	7	31	17	37	27	24	34	34	37	7	16	32	1	21	30
71	18	24	34	21	12	3	25	35	20	35	39	30	9	37	26	39	2	31	6	32
72	31	2	26	37	10	38	20	35	8	7	21	16	8	17	30	6	23	19	39	18
73	17	22	19	2	32	3	26	34	31	38	18	26	28	32	12	25	35	23	38	13
74	28	35	6	29	24	28	16	9	33	38	14	38	29	17	5	17	5	37	9	20
75	21	7	10	33	39	10	10	7	25	10	11	4	9	38	15	39	12	15	38	28
76	27	23	20	30	25	2	25	16	9	19	37	7	6	3	39	33	23	21	16	2
77	33	37	37	29	7	10	33	31	21	34	2	38	25	31	31	28	15	31	39	17
78	13	21	16	31	10	1	37	39	3	37	19	29	37	35	34	16	3	27	35	14
79	20	37	34	20	10	30	16	1	39	16	32	32	25	39	36	2	15	38	34	19
80	33	36	20	30	10	12	1	24	39	16	29	8	36	4	36	16	18	39	11	7
81	30	23	39	24	18	32	25	5	33	15	13	21	3	23	2	29	14	12	18	3
82	11	1	9	12	30	32	18	22	4	3	36	36	33	37	21	8	14	39	2	38
83	7	4	11	38	17	15	21	26	1	21	33	6	4	29	37	28	34	33	16	32
84	10	13	6	1	24	8	26	23	7	25	18	15	6	39	21	37	12	18	22	25
85	16	26	9	2	20	33	4	20	12	31	35	33	1	18	31	30	1	29	15	24
86	31	18	35	38	5	15	19	33	30	4	33	14	38	11	13	36	24	9	20	34
87	25	25	25	16	31	36	1	13	22	24	5	6	20	18	33	9	11	15	20	3
88	10	35	9	4	16	24	34	39	20	34	20	24	2	33	35	19	30	33	18	21
89	29	17	27	1	6	29	6	10	10	8	2	34	2	7	21	30	19	22	34	33
90	22	8	1	31	14	37	39	6	16	15	28	7	36	3	16	11	25	15	15	27
91	12	33	35	1	15	33	28	16	24	32	33	30	39	3	18	10	18	5	17	28
92	33	5	32	34	8	35	20	37	30	19	3	10	23	30	11	7	3	26	9	28
93	10	20	29	18	8	17	36	7	17	22	34	6	10	19	34	21	31	10	20	26
94	3	28	25	28	29	30	5	34	3	20	21	23	13	27	23	37	36	3	26	7
95	37	21	34	23	22	8	11	12	28	39	33	9	7	37	36	24	5	2	21	13
96	38	38	30	17	8	37	21	1	38	16	28	7	24	24	34	38	6	35	17	2
97	20	35	8	8	11	11	30	4	23	22	35	2	19	25	9	20	16	19	22	20
98	31	3	38	1	15	20	17	34	31	4	10	36	17	38	16	30	15	23	29	7
99	7	17	5	9	37	33	36	20	8	9	19	12	35	17	34	28	11	2	12	4
100	14	34	20	16	34	17	30	20	21	17	10	37	23	12	5	22	22	25	16	8
101	1	28	39	28	24	20	25	4	10	22	15	3	26	29	27	16	33	3	29	14
102	36	21	33	8	15	33	2	7	13	5	30	18	28	38	13	21	34	17	26	1
103	9	19	34	35	3	13	5	29	12	11	15	16	21	12	22	1	16	26	16	3
104	26	36	16	20	27	18	11	27	5	38	21	12	7	13	7	29	8	29	28	29
105	23	21	31	3	17	29	7	28	8	7	3	4	5	23	30	17	6	35	17	26
106	3	36	12	10	32	4	10	30	11	1	28	7	33	33	28	29	8	35	5	26
107	12	31	15	28	29	1	11	8	21	28	16	22	3	31	29	36	28	4	29	14
108	20	21	17	4	12	2	23	8	1	15	3	5	9	18	26	19	39	38	24	23
109	9	19	12	38	12	4	6	28	20	11	3	13	7	21	28	25	36	18	4	9
110	34	21	34	6	27	22	16	12	37	18	29	32	3	12	38	18	28	35	25	19
111	4	18	4	24	9	15	37	24	33	38	4	1	30	12	15	17	18	27	4	22
112	27	34	11	23	17	18	7	2	13	23	38	38	2	6	24	21	20	39	12	9
113	29	23	34	13	6	25	22	28	32	27	7	32	31	15	35	1	19	8	39	35
114	30	31	32	15	26	10	37	31	30	18	22	21	26	8	21	9	37	17	23	10
115	5	25	37	9	10	7	3	32	2	14	16	9	30	18	19	10	9	33	4	2
116	27	17	24	39	10	20	14	7	12	7	22	32	16	2	25	1	14	15	37	13
117	21	7	11	18	21	35	11	13	8	4	17	3	9	7	37	33	12	32	18	17
118	39	24	17	22	33	16	34	29	7	4	27	27	6	14	37	36	2	1	21	16
119	10	32	10	6	17	4	10	11	35	36	2	30	25	8	5	1	22	1	35	1
120	20	26	4	36	5	14	32	21	4	30	22	12	6	18	26	27	28	1	3	22
121	25	36	35	13	36	33	33	5	9	4	9	34	8	25	12	27	20	25	9	18
122	23	23	30	19	35	37	11	15	25	16	30	31	7	16	21	15	24	4	28	6
123	3	22	35	18	15	39	11	8	36	26	20	3	39	22	20	30	39	7	6	3
124	1	23	35	15	16	17	33	31	2	37	22	18	13	12	11	11	5	23	39	26
125	19	29	2	36	7	10	24	7	8	9	12	8	35	24	36	5	34	15	18	29
126	5	15	36	7	34	8	4	36	31	37	28	31	35	10	26	17	22	31	3	25
127	15	16	8	4	30	20	30	2	30	21	9	32	20	20	37	31	19	14	21	30
128	25	15	34	29	2	13	13	16	22	26	5	33	17	20	36	25	32	19	16	27
129	21	38	7	28	14	20	8	25	39	34	19	15	36	3	16	23	2	14	38	30
130	20	29	26	26	27	20	4	28	2	37	8	30	32	29	35	5	23	29	16	21
131	6	31	10	3	19	37	14	31	33	16	24	24	22	1	24	2	34	13	3	30
132	20	5	28	27	29	28	34	18	17	7	16	34	31	30	38	16	18	23	28	6
133	32	4	36	34	26	2	27	1	39	16	18	21	20	8	39	39	27	37	31	11
134	3	30	16	31	2	8	36	39	35	36	26	1	15	27	4	24	37	9	29	12
135	17	9	1	1	26	18	19	38	14	14	10	22	9	12	19	33	13	35	8	1
136	8	1	17	39	28	9	12	4	23	20	22	32	28	4	7	6	33	9	16	25
137	17	16	8	2	14	24	13	35	29	9	9	11	39	38	15	19	26	23	14	15
138	2	34	16	21	10	7	9	21	12	24	31	6	17	1	33	21	20	15	21	36
